state,year,level,metric,value,unit,pdf_file,pdf_page,printed_label,note
Jharkhand,2021-22,All,schools_with_electricity,95.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Jharkhand,2021-22,All,schools_with_functional_electricity,92.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Karnataka,2021-22,All,schools_with_electricity,99.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Karnataka,2021-22,All,schools_with_functional_electricity,98.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Kerala,2021-22,All,schools_with_electricity,99.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Kerala,2021-22,All,schools_with_functional_electricity,99.5,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Ladakh,2021-22,All,schools_with_electricity,93.4,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Ladakh,2021-22,All,schools_with_functional_electricity,92.2,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Lakshadweep,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Lakshadweep,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Madhya Pradesh,2021-22,All,schools_with_electricity,77.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Madhya Pradesh,2021-22,All,schools_with_functional_electricity,74.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Maharashtra,2021-22,All,schools_with_electricity,95,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Maharashtra,2021-22,All,schools_with_functional_electricity,85.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Manipur,2021-22,All,schools_with_electricity,66.5,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Manipur,2021-22,All,schools_with_functional_electricity,54.5,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Meghalaya,2021-22,All,schools_with_electricity,26.5,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Meghalaya,2021-22,All,schools_with_functional_electricity,24.7,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Mizoram,2021-22,All,schools_with_electricity,84.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Mizoram,2021-22,All,schools_with_functional_electricity,79.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Nagaland,2021-22,All,schools_with_electricity,76.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Nagaland,2021-22,All,schools_with_functional_electricity,67.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Odisha,2021-22,All,schools_with_electricity,84.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Odisha,2021-22,All,schools_with_functional_electricity,76.7,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Puducherry,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Puducherry,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Punjab,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Punjab,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Rajasthan,2021-22,All,schools_with_electricity,87.7,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Rajasthan,2021-22,All,schools_with_functional_electricity,86.7,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Sikkim,2021-22,All,schools_with_electricity,99.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Sikkim,2021-22,All,schools_with_functional_electricity,98.4,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Tamil Nadu,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Tamil Nadu,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Telangana,2021-22,All,schools_with_electricity,93.9,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Telangana,2021-22,All,schools_with_functional_electricity,90.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Tripura,2021-22,All,schools_with_electricity,57.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Tripura,2021-22,All,schools_with_functional_electricity,55,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Uttar Pradesh,2021-22,All,schools_with_electricity,84.5,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Uttar Pradesh,2021-22,All,schools_with_functional_electricity,81.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Uttarakhand,2021-22,All,schools_with_electricity,91.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Uttarakhand,2021-22,All,schools_with_functional_electricity,88.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
West Bengal,2021-22,All,schools_with_electricity,97.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
West Bengal,2021-22,All,schools_with_functional_electricity,96.2,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
India,2021-22,All,schools_total,1489115,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
India,2021-22,All,schools_with_computer,707498,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
India,2021-22,All,schools_with_computer,47.5,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Andaman & Nicobar Islands,2021-22,All,schools_total,416,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Andaman & Nicobar Islands,2021-22,All,schools_with_computer,278,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Andaman & Nicobar Islands,2021-22,All,schools_with_computer,66.8,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Andhra Pradesh,2021-22,All,schools_total,61948,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Andhra Pradesh,2021-22,All,schools_with_computer,31981,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Andhra Pradesh,2021-22,All,schools_with_computer,51.6,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Arunachal Pradesh,2021-22,All,schools_total,3603,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Arunachal Pradesh,2021-22,All,schools_with_computer,1226,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Arunachal Pradesh,2021-22,All,schools_with_computer,34,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Assam,2021-22,All,schools_total,60859,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Assam,2021-22,All,schools_with_computer,11478,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Assam,2021-22,All,schools_with_computer,18.9,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Bihar,2021-22,All,schools_total,93165,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Bihar,2021-22,All,schools_with_computer,17569,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Bihar,2021-22,All,schools_with_computer,18.9,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Chandigarh,2021-22,All,schools_total,233,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Chandigarh,2021-22,All,schools_with_computer,233,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Chandigarh,2021-22,All,schools_with_computer,100,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Chhattisgarh,2021-22,All,schools_total,56512,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Chhattisgarh,2021-22,All,schools_with_computer,50519,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Chhattisgarh,2021-22,All,schools_with_computer,89.4,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Dadra & Nagar Haveli and Daman & Diu,2021-22,All,schools_total,460,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Dadra & Nagar Haveli and Daman & Diu,2021-22,All,schools_with_computer,410,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Dadra & Nagar Haveli and Daman & Diu,2021-22,All,schools_with_computer,89.1,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
Delhi,2021-22,All,schools_total,5619,count,UDISE_2021-2022.pdf,138,Total Schools,"Table 7.9 col (2), All management"
Delhi,2021-22,All,schools_with_computer,5619,count,UDISE_2021-2022.pdf,138,Schools with computer facility,"Table 7.9 col (7), All management"
Delhi,2021-22,All,schools_with_computer,100,percent,UDISE_2021-2022.pdf,138,Percentage of Schools with computer facility,"Table 7.9 col (12), All management"
